source target weight_t0 weight_t1 weight_t2 weight_t3 weight_t4
Ajax Hertha_BSC 0 0 0 0 1
Ajax Wolfsburg 0 0 1 0 0
Ajax Cagliari_Calcio 0 0 0 0 1
Ajax NAC_Breda 2 0 0 0 0
Ajax Willem_II 0 0 1 0 0
Ajax Napoli 0 0 1 1 0
Ajax Milan 1 0 0 0 0
Ajax FC_Groningen 0 1 1 1 0
Ajax Belenenses 0 0 0 1 0
Ajax SC_Lyon 0 0 0 1 1
Ajax SC_Heerenveen 1 0 0 0 0
Ajax Bayern_Munich 0 0 0 0 3
Ajax OGC_Nice 0 1 0 1 0
Ajax Bayer_Leverkusen 0 0 0 1 0
Ajax Sporting_Gijón 1 0 0 0 0
Ajax Sevilla_FC 0 0 0 1 0
Ajax RKC_Waalwijk 0 1 0 0 0
Ajax Atlético_Madrid 1 1 0 0 0
Ajax De_Graafschap 1 0 0 0 0
Ajax UC_Sampdoria 0 0 1 0 0
Ajax Vitesse 0 2 0 2 0
Ajax FC_Zwolle 0 0 2 1 0
Ajax Crystal_Palace 0 0 0 1 0
Ajax Tottenham 0 2 0 1 0
Ajax Borussia_Dortmund 0 0 0 0 1
Ajax Everton 0 0 0 1 0
Ajax Roda_JC 0 2 0 0 0
Ajax LOSC_Lille 0 0 1 0 0
Ajax AS_Roma 0 1 0 1 0
Ajax FC_Schalke_04 0 0 0 0 1
Ajax Spartak_Moscow 0 1 0 0 1
Ajax Newcastle 0 1 1 0 0
Ajax Liverpool 1 0 0 0 0
Ajax ADO_Den_Haag 0 0 1 0 0
Ajax Barcelona 0 0 1 1 1
Ajax SS_Lazio 0 0 1 0 0
Ajax Heracles_Almelo 0 0 1 0 0
Ajax SC_Feyenoord 0 0 1 0 1
Ajax Brighton 0 0 0 0 2
Ajax Swansea_City 0 0 1 0 0
Ajax Manchester_City 0 0 1 0 3
Ajax FC_Nantes 0 0 1 0 0
Akhmat_Grozny Dynamo_Moscow 0 0 0 1 0
Akhmat_Grozny Uralmash 0 0 0 1 1
Akhmat_Grozny Sporting 0 0 0 1 0
Akhmat_Grozny FK_Rostov 0 0 0 1 0
Akhmat_Grozny Din._Krasnodar 0 0 0 0 2
Akhmat_Grozny Montpellier 0 0 0 1 0
Akhmat_Grozny CD_Feirense 0 0 0 1 0
Akhmat_Grozny St._Petersburg 0 0 0 1 0
Akhmat_Grozny FK_Khimki 0 0 0 0 2
Akhmat_Grozny Lokomotiv_Moscow 0 0 0 0 1
Akhmat_Grozny Torpedo-Metallurg_Moscow 0 0 0 0 1
Akhmat_Grozny FK_Ufa 0 0 0 0 1
Alania KS_Samara 1 0 0 0 0
Alania FK_Rostov 1 0 0 0 0
Alania LFK_Sibir 1 0 0 0 0
Alavés Valencia 0 0 0 1 0
Alavés Granada_CF 0 0 0 0 1
Alavés Elche_CF 0 0 0 0 1
Alavés Athletic 0 0 0 1 0
Alavés Nottingham_Forest 0 0 0 0 1
Alavés SC_Freiburg 0 0 0 0 1
Alavés Real_Betis 0 0 0 1 0
Alavés Watford_FC 0 0 0 1 0
Alavés AS_Monaco 0 0 0 1 0
Alavés CD_Leganés 0 0 0 1 0
Almería_CF Getafe 1 0 0 0 0
Almería_CF Brentford 0 0 1 0 0
Almería_CF Valencia 1 0 0 0 0
Almería_CF Espanyol 0 0 0 0 2
Almería_CF CA_Osasuna 1 0 0 0 0
Almería_CF Genoa 1 0 0 0 0
Almería_CF RCD_Mallorca 1 0 0 0 0
Almería_CF AC_Fiorentina 1 0 0 0 0
Almería_CF Sevilla_FC 0 0 1 0 0
Almería_CF Real_Madrid 1 0 0 0 1
Almería_CF CD_Málaga 1 0 0 0 0
Amkar_II Din._Krasnodar 2 0 0 0 0
Amkar_II Lokomotiv_Moscow 1 0 1 0 0
Amkar_II Idel_Kazan 1 0 3 0 0
Amkar_II FK_Rostov 0 0 1 0 0
Amkar_II Terek_Grozny 0 1 0 0 0
Amkar_II FK_Ufa 0 0 1 0 0
Amkar_II Spartak_Moscow 1 0 2 0 0
Amkar_II Dynamo_Moscow 0 1 0 0 0
Angers_SCO SC_Freiburg 0 0 0 0 1
Angers_SCO EA_Guingamp 0 0 0 1 0
Angers_SCO SM_Caen 0 0 0 1 0
Angers_SCO Marseille 0 0 0 0 1
Angers_SCO RC_Lens 0 0 0 0 1
Angers_SCO Stade_Brestois 0 0 0 0 1
Angers_SCO Derby 0 0 1 0 0
Angers_SCO SC_Lyon 0 0 0 1 0
Angers_SCO Real_Madrid 0 0 0 0 1
Angers_SCO Dijon_FCO 0 0 1 0 0
Angers_SCO AC_Ajaccio 0 0 0 0 1
Angers_SCO AC_Amiens 0 0 0 1 0
Angers_SCO FSV_Mainz 0 0 0 0 1
Angers_SCO FC_Metz 0 0 0 0 1
Angers_SCO Villarreal_CF 0 0 0 1 0
Angers_SCO LOSC_Lille 0 0 0 1 0
Angers_SCO OGC_Nice 0 0 0 0 1
Angers_SCO Bristol_City 0 0 1 1 0
Angers_SCO Wolves_FC 0 0 1 0 1
Angers_SCO US_Salernitana 0 0 0 0 1
Angers_SCO Udinese_Calcio 0 0 0 0 1
Angers_SCO R._Strasbourg 0 0 0 1 0
Angers_SCO Rennes 0 0 0 1 0
Angers_SCO Birmingham 0 0 0 1 0
Arminia_Bielefeld FSV_Mainz 0 0 0 0 1
Arminia_Bielefeld RC_Lens 0 0 0 0 1
Arminia_Bielefeld Greuther_Fürth 0 0 0 0 1
Arminia_Bielefeld FC_Union_Berlin 0 0 0 0 1
Arouca Moreirense_FC 0 0 1 0 0
Arouca SC_Olhanense 0 1 0 0 0
Arouca Académica_Coimbra 0 0 1 0 0
Arouca CD_Tondela 0 0 1 0 0
Arouca FC_Paços_de_Ferreira 0 0 1 0 0
Arouca Rio_Ave_FC 0 0 1 0 0
Arouca FC_Toulouse 0 0 1 0 0
Arouca CD_Nacional 0 0 1 0 0
Arouca FC_Penafiel 0 0 1 0 0
Arouca FC_Nantes 0 0 1 0 0
Arouca Vitória_Setúbal_FC 0 0 1 0 0
Arsenal Wolfsburg 0 0 1 0 0
Arsenal Fulham 1 0 1 0 1
Arsenal Watford_FC 0 1 0 1 0
Arsenal Real_Madrid 0 1 0 1 0
Arsenal Marseille 0 0 1 0 2
Arsenal QPR 0 1 0 0 0
Arsenal AS_Roma 0 1 0 0 1
Arsenal Valencia 0 0 0 2 0
Arsenal Hamburger_SV 0 0 1 0 0
Arsenal Suderland 0 1 0 0 0
Arsenal St._Petersburg 0 1 0 0 0
Arsenal Juventus 0 0 0 2 0
Arsenal Barcelona 1 2 1 0 2
Arsenal Manchester_City 2 3 1 1 0
Arsenal Nottingham_Forest 0 1 0 1 0
Arsenal Norwich 0 0 1 0 0
Arsenal Swansea_City 0 0 1 0 0
Arsenal Milan 1 0 0 0 0
Arsenal Crystal_Palace 0 1 0 0 0
Arsenal Werder_Bremen 1 0 1 0 0
Arsenal Ipswich_Town 0 1 0 0 0
Arsenal Liverpool 0 0 0 1 0
Arsenal Atlético_Madrid 1 0 0 0 0
Arsenal Villarreal_CF 0 0 0 1 0
Arsenal Derby 0 0 0 1 0
Arsenal FC_Augsburg 0 0 0 1 0
Arsenal Napoli 0 0 0 1 0
Arsenal AS_Saint-Étienne 0 0 0 1 0
Arsenal FC_Toulouse 0 0 0 1 0
Arsenal Middlesbrough_FC 1 0 0 0 0
Arsenal SC_Lyon 0 0 0 0 1
Arsenal Stuttgart 1 0 0 0 1
Arsenal Académica_Coimbra 1 0 0 0 0
Arsenal FC_Girondins_Bordeaux 0 0 0 1 0
Arsenal CA_Bastia 0 1 0 0 0
Arsenal FC_Nuremberg 0 1 0 0 0
Arsenal Aston_Villa 0 0 0 0 2
Arsenal Everton 0 0 0 2 0
Arsenal Tottenham 1 0 0 0 0
Arsenal Newcastle 1 0 0 0 1
Arsenal West_Brom 0 0 0 1 0
Arsenal Cardiff 0 0 1 0 0
Arsenal Barnsley_FC 0 1 0 0 0
Arsenal Chelsea 0 0 0 1 0
Arsenal West_Ham 0 0 0 2 0
Arsenal FC_Schalke_04 0 0 0 0 1
Arsenal_Tula Dynamo_Moscow 0 0 0 0 1
Arsenal_Tula FK_Tambov 0 0 0 0 1
Arsenal_Tula FC_Nizhniy_Novgorod 0 0 0 0 1
Arsenal_Tula Spartak_Moscow 0 0 0 0 1
Association_Troyes_Aube_Champagne Nottingham_Forest 0 0 0 0 1
Association_Troyes_Aube_Champagne FC_Paços_de_Ferreira 0 0 0 0 1
Association_Troyes_Aube_Champagne AC_Ajaccio 0 0 0 0 1
Aston_Villa Cardiff 0 0 1 0 0
Aston_Villa QPR 1 2 0 0 0
Aston_Villa Preston 0 0 1 0 0
Aston_Villa Nottingham_Forest 0 1 0 1 0
Aston_Villa Chelsea 0 0 0 0 1
Aston_Villa Birmingham 2 0 0 1 1
Aston_Villa FC_Eindhoven 1 0 0 0 1
Aston_Villa Tottenham 0 1 0 0 0
